kc.docker.internal | 172.22.0.5 - - [31/May/2021:16:25:54 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.22.0.5 - - [31/May/2021:16:26:04 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.22.0.5 - - [31/May/2021:16:26:14 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.22.0.5 - - [31/May/2021:16:26:24 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.22.0.5 - - [31/May/2021:16:26:35 +0000] "GET /service_health/ HTTP/1.1" 200 (82 bytes) "-" "python-requests/2.22.0"
kc.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:48 +0000] "GET / HTTP/1.1" 302 (5 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 172.22.0.1 - super_admin [31/May/2021:20:13:05 +0000] "GET /api/v1/user HTTP/1.1" 200 (298 bytes) "-" "python-requests/2.22.0"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:13:12 +0000] "GET / HTTP/1.1" 302 (5 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:13:12 +0000] "GET /super_admin/ HTTP/1.1" 200 (5796 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [31/May/2021:20:13:12 +0000] "GET /static/css/phaseout/bootstrap.min.css HTTP/1.1" 200 (19400 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:13:12 +0000] "GET /jsi18n/ HTTP/1.1" 200 (758 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
