kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:25:04 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:25:14 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:25:24 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:25:34 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:25:44 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:25:54 +0000] "GET /service_health/ HTTP/1.1" 500 (360 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:04 +0000] "GET /service_health/ HTTP/1.1" 500 (362 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:14 +0000] "GET /service_health/ HTTP/1.1" 500 (361 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:24 +0000] "GET /service_health/ HTTP/1.1" 500 (362 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:35 +0000] "GET /service_health/ HTTP/1.1" 200 (325 bytes) "-" "-"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:42 +0000] "GET / HTTP/1.1" 302 (0 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:42 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 (1332 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:16:26:42 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 (1333 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
